query,intent,best_similarity,retrieved_customer,retrieved_response
@AppleSupport But I have enough availabe storage space and full wi-fi network. Also already tried to remove and download the ios again,2,0.24667658438055245,"@AppleSupport Yes, Wi-Fi.","@776000 OK, thank you. Does the download seem to be progressing? Let's give it a bit more time to finish."
@AppleSupport Yes exactly i tried 3-4 times but didnt worked,3,0.550514509195701,"@AppleSupport Yes, exactly. iPad MD523FD/A.",@208017 Do you know what the model of the iPad is? If not let's meet up in Direct Message and we'll look into that further. https://t.co/GDrqU22YpT
@245882 @AppleSupport Same here!!,1,1.0000000000000002,@248690 @AppleSupport Same here.,@248689 We appreciate you reaching out. Apple Pay Cash is not available with the 11.2 update at this time.
@AppleSupport iOS 11.0.2 keeps crashing! 👍🏻,2,0.6186071918591085,11.1.2 keeps crashing on my iphone 7 @115858 @AppleSupport,@239548 We're here to help. we'd like to look into this with you. When did this start happening and when did you last update your iPhone's iOS? What apps are you using when you notice the behavior? Is the iPhone restarting or just the app restarting? Please reply in DM. https://t.co/GDrqU2kzhr
This is what I've been seeing.. is it cause I haven't updated or cause others have? HALLLPPP @115858. https://t.co/qWdxOKkicX,2,0.299861058336876,lol @115858 what you on with me? Is it cause I haven't downloaded the updates? https://t.co/gTZCn8u6zU,"@565006 Let's look into this together. Do you sync your contacts with an account, such as iCloud, Gmail, or Yahoo? Let us know in DM. https://t.co/GDrqU22YpT"
My Apple Music has been messing up since the new update! Cannot think of a worse possible outcome. Not the music @115858,6,0.3757501532541232,My iPhone has been messing up since I️ updated it! @115858,@732349 We'd love to help you with the trouble you're having! Which version of iOS 11 are you currently updated to? What exactly is happening?
@115858 Where can I report a major issue with your phones predictive text?,1,0.3376627976233414,@AppleSupport where can I report some bugs?,"@668814 Thanks for reaching out to us, we are here for you. You can leave feedback on this page: https://t.co/eTPVYVFyd8"
"@AppleSupport Hi, I have an issue where I have set my Calendar app on Mac to start week on Monday but it randomly changes to start week on Sunday and I have to keep changing it back, can you please advise a fix?",1,0.21353952478014532,"@AppleSupport Hi, I have an iPhone 6","@525877 Thanks for those details. Have you had a chance to try to verify the apps on both cellular data, and Wi-Fi?"
"@AppleSupport Itunes 12.7.1.14, there’s no unpdate option for me",7,0.44361540701383073,@AppleSupport 12.7.1.14,@123492 Great. Thanks for grabbing that for us. Let's move our conversation into DM so we can try a few steps to help out. https://t.co/GDrqU22YpT
"Instead of extra characters in #twitter, can @AppleSupport fix this damn I️ bug on iPhones 📱 first??? 🤔",2,0.28283682400658955,can @AppleSupport fix this “I️” shit,@209243 Hello. Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/uQeXsr9Kz9
@180336 @AppleSupport The battery not holding the charge is the worst. Do something @AppleSupport,4,0.407150742154427,DO SOMETHING @AppleSupport,@484880 Hi. We'd like to help. Tell us the device you're using and the OS version it's running and we'll go from there.
@AppleSupport I had a purchase. Apparently it was initially purchased on October 28 and now I was charged 100 today for it.  It was not authorized and I’m concerned someone has my idea,7,0.2657521535976277,@AppleSupport It was not checked :(,@784249 Thank you for checking that for us. We'd like to look into this further with you. Let's continue in DM. https://t.co/GDrqU22YpT
@AppleSupport I’m updated to 11.0.3 too,2,0.7081454794518243,@AppleSupport Updated to 11.0.3,"@377487 Great! First, let's see if this article help out with the problem that you're experiencing with Maps: https://t.co/jiMIBQw7go"
@115858 my screen recording isn’t working it just has a countdown then it stops please help me and contact me when you can.,1,0.25558755573540715,@115858 please help me,@502105 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9
"Since this updated ios from @AppleSupport my phone doesnt work correctly!! Apps keep crashing, screen touch not correct + more! #nomoreapple",2,0.32160516767698877,@AppleSupport my apps keep crashing.,@311373 We're happy to help. Does this occur with pre-installed apps or 3rd party apps? What's the iOS version installed on your device?
"@AppleSupport my ipad camera has had a black screen for a while, where are some places I could have it checked/fixed if anything wrong?",11,0.20189189412844177,@AppleSupport My ipad,@292886 Try the steps in this article for a lost or stolen iPad: https://t.co/fUoKdx4Yut
@AppleSupport The iPhone 6 Plus. Can we arrange a call?,11,0.47631616545561994,@AppleSupport The iPhone 7 Plus,@212892 Noted. Which version of iOS is it running? Find that in Settings &gt; General &gt; About and reply in DM. https://t.co/GDrqU22YpT
@AppleSupport i keep getting this error message when i wanted to make a purchase . Help ! https://t.co/VL1vBh48HA,7,0.4723854562010578,@AppleSupport I keep getting this error message when I try to update/re-download iTunes https://t.co/K0F0phrl13,@316911 Thanks for the screenshot. Send us a DM and we'll continue working on this together there. https://t.co/GDrqU22YpT
@AppleSupport @115858 you are providing very bad service to customer and moreover don’t even bother to reply on emails. Customer issues aren’t ur concern,11,0.19892554994111827,@AppleSupport  very bad service Apple service centre https://t.co/XTKwvT3B0n,@407232 Thanks for reaching out. DM us more info about your experience and we'll get you to the right spot. https://t.co/GDrqU22YpT
@AppleSupport worst upgrade ever ......SUCKS.nothing but problems and now I can’t instal latest upgrade that I need ! My phone is useless! https://t.co/06HMV6M5Ka,2,0.2909833282249443,The @115858 update is useless 🧐 https://t.co/hlbkuilp93,@209111 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/uQeXsrrlXJ
@AppleSupport I bought an iPhone 8 in the US recently and was assured it was unlocked by the staff at @127271 - it isn’t. Any options?,3,0.21296533480808014,@AppleSupport In the US.,@270566 Thanks. Where is the scratch on the phone? Let us know via DM to continue https://t.co/GDrqU22YpT
@AppleSupport Found that link and tried all of that before tweeting.,3,0.349456578128264,@AppleSupport yes i’ve tried all of that!,@723912 Have you done any other troubleshooting steps? This will help us isolate the issue further.
"@AppleSupport for the love of god, can we get an update for this “I️” nonsense?",2,0.5290275106468244,"@AppleSupport For the love of God can we get a new update? The last one causes my phone to crash, realistically, about 7 times a day! 👎🏻",@585363 We want to be sure you get the most of your iPhone performance. Which iOS version are you running? DM us and let us know. https://t.co/GDrqU22YpT
My phone decided to fuck me over and update last night and set my time back an hour.. and I missed my app. Wtf @115858,2,0.2579869574465784,So my phone decided to update last night now my phone is tripping bad @AppleSupport what have y’all done!,@682312 Let's take a look at it together. What symptoms are you experiencing? Which iPhone do you have?
Okay @115858 how about you get your shit together a fix this!! I️,2,0.4652652798071911,I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ @115858 !! Get your shit together!! #myblackberryneverdidthis,@393410 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9
@AppleSupport My iPhone SE battery has gone from 77% to 13% while locked overnight... please hurry up and fix iOS 11.. it’s a joke presently...,4,0.2574916848271332,Hurry up and fix this I️ bullshit @115858,@603454 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9 https://t.co/GDrqU22YpT
"@115858 my WhatsApp doesn’t work with iOS 11, and the keyboard have a delay when I push the letters 😡 #ios11 #sucks #ios11sucks",2,0.24007060086477688,@AppleSupport iOS11 sucks 😒,@432738 That's not the experience we want you to have. DM us any troubles you're having and we'll take a look. https://t.co/GDrqU22YpT
"@AppleSupport nothing it just pops up and says facetiming but doesn’t ring, and when people call me on ft it doesn’t go through at all",1,0.26684619290340944,@AppleSupport why is it when people call me on my iphone x the ringtone is super soft ??,"@672837 Let's work on this together so you can hear your calls easier. Is it only your incoming calls that come in softly or do other sounds also sound low? Do you have a case on your iPhone? If you remove it, does that help with the sound volume?"
"@AppleSupport Yes, it works in Safari. Just checked. And also checked with another friend with Apple Music subscription (iPhone 7 Plus, iOS 11.1.1). She cannot play videos on cellular data in Apple Music too. Wi-fi works for her as for me.",6,0.21718941247015827,@AppleSupport With Apple Music,@321936 Thanks. Let's look into that further. Send us a DM and we'll go from there. https://t.co/GDrqU22YpT
@AppleSupport I’m from India. A friend of mine is flying from US and I want to get an iPhone X. The verizon version A1865 is the one that supports here. But while pre-ordering is it necessary to put Contract info? I cannot get the unlocked one?,7,0.22115241023386437,"@AppleSupport From India, chennai.","@583317 Thanks. Let's move over to DM, and we'll look into options together with you. Send us a message using the link below: https://t.co/GDrqU22YpT"
@AppleSupport Quick question. How do I get rid of this square? https://t.co/yybSAibsT2,5,0.5488313202814684,@AppleSupport How do I get rid of this? https://t.co/5xhOmfkp8X,@819832 We'd love to look into this notification with you! Are you an Apple Music member? Which version of iOS are you updated to?
I’ve gotten about 3 new phones for the SAME issue. Here for the 4th? Getting real tired @115858,3,0.2870093223231492,@314587 @AppleSupport Same issue here! @AppleSupport,"@663355 That's not okay. Let's take a look in DM. Which iOS version are you running?
 Follow us there using the link below: https://t.co/GDrqU22YpT"
@AppleSupport Is there a way to check the overall battery health of my iPhone 6S Plus?,4,0.8734758319580076,@AppleSupport Any way to check the overall battery health of my iPhone 6s Plus?,@411411 Go ahead and send us a DM and we can look into it together. Thank you. https://t.co/GDrqU22YpT
"@AppleSupport I've tried that. When I hold the up volume button and power button down for over a minute, nothing happens. Do Apple Stores accept walk ins? Waiting 30 hours for my appointment without a functioning phone is a real problem.",11,0.20670244098208523,@AppleSupport I only hard reset my phone. Home button and power button pushed.,@456277 Nice work with the reset. Does the device freeze with specific apps? Do you have any available app updates?
@AppleSupport please send a fix or work around for this: https://t.co/Wwx4Fbb1Ct,2,0.367845190154841,Ugh this bullshit work around for this “l” problem don’t WORK!!! @AppleSupport,@527107 Hi there. We've resolved this. Please update to iOS 11.1.1 at your earliest convenience: https://t.co/10s5jEdSo2
@applesupport my phone keeps saying storage almost full I've deleted apps photos and videos and it's still at the same space level help,3,0.30574835704993925,"I’ve deleted over 8 thousand photos and videos and my iCloud is STILL full 
@AppleSupport plz help",@595983 We're happy to look into this issue with you. Please meet us in DM and we'll be happy to take a closer look. https://t.co/GDrqU22YpT
"@AppleSupport I have restarted it twice now and still no difference, I mostly use it inside. This has been happening for about 24hrs now",2,0.32247993788087015,@AppleSupport This has been happening for weeks now,"@477592 You may have to delete the update and try again. For a full breakdown on this, check out that link we shared with you."
@AppleSupport No I powered it after it froze. But it already had 26% before,4,0.2745439562144316,@115858 FIX IT ALREADY,@463090 Let's have a look together. Please DM us. https://t.co/GDrqU22YpT
👁’m gonna use 👁 when 👁 got tweet some shit that start with 👁 til @115858 get they shit together,1,0.32431699741483316,@115858 needs to get they shit together because I️ can’t stand this shit,@516301 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9
@115858 umm i just wanna talk to yall about this update.. i just want to talk.,2,0.39086593474422104,@AppleSupport I️ just wanna talk... why is my 7 acting up...?,@497649 We're here for you. Please DM us a few more details and we can go from there. https://t.co/GDrqU22YpT
@115858 has really been shitting the bed lately. I've had more issues with the iPhone 7 than all my iPhones combined since second gen. https://t.co/TBFb74uRy4,2,0.23716639151105906,High Sierra is the buggiest OSX release ever. I’ve had more freezes and problems than all the other released combined! #MacOS #OSX @115858,@223179 We're here to help. Let's take this to DM so we can better assist you. https://t.co/GDrqU22YpT
@AppleSupport How do I revert to previous iOS? Can I Delete iOS 11?,2,0.3491475221351398,@AppleSupport I am gonna need to revert to the previous iOS.,"@515188 DM us, and we can help you get your iPhone lasting as long as possible. https://t.co/GDrqU22YpT"
"Look y’all don’t own my I’s, okay!?@115858 I’m gonna need y’all to give those muthafuckas back before I️ see what that #Pixel2XL is all about Ight?!? Got me over feeling/looking like I’m still using T9word or some shit 🙄 Tf!",2,0.20848849747485093,@115858 fix this “ I️ “ shit tf,@517517 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9
"@AppleSupport look, i just got this iPhone 8 and i would like to ask y’all why is my phone tripping and dying so fast 😐",4,0.3562168039152776,@AppleSupport why is my phone tripping??😂,"@245536 We can understand your need to have a working device. We'd like to do all we can to isolate the issue, and find a resolution. In order for us to assist, we do need some information from you. We received your DM, so will meet you there to help resolve. https://t.co/GDrqU22YpT"
"@AppleSupport The apps are unexpectedly closing it, it seems a lot slower than it did before I updated it it’s like jumpy",1,0.2806138575870242,"@115858 please get your shit together with this new update, my phone dies 10x faster than it did before I updated it to iOS 11.0.3😠",@358114 That should not be happening. Let us help. DM us which iPhone this is happening on. We'll go from there. https://t.co/GDrqU22YpT
@AppleSupport recent update for IPad and IPhone have made it difficult to open certain applications,2,0.33473153551079315,@AppleSupport Recent*,@236224 Thanks for confirming that. Can you provide us which iOS version is on your device?
@AppleSupport @115858 why isn’t my low power mode working 🤔🧐help?!... https://t.co/AutkdiI4n6,4,0.6188197815580906,@115858 why has my low power mode settings disappeared 🧐🤔help!... https://t.co/8Lg6UqkBl3,@143274 Let's look into this further with you. Have you tried restarting the Settings app or your iOS device?
"It’s crazy when I didn’t update my 7plus it worked perfect, nw it’s updated my joint freezing an everything. No @115858 I Dn’t want a new phn",2,0.19669263150696797,@AppleSupport it worked,@484889 Great to hear! Have a good rest of your weekend.
"For some reason, Siri thinks apologies are indecipherable Canadian gibberish, @AppleSupport? https://t.co/IeGMEewAIL",1,0.30852597965687467,"@AppleSupport hi, for some reason Siri isn’t available on my iphone7 anymore! Please support https://t.co/AJgMcL5MH0","@789356 Hey, we can help you figure out what's going on with Siri. First, let's check Restrictions. Go to Settings &gt; General &gt; Restrictions, and make sure that Siri &amp; Dictation isn't off."
my Apple Music hasn’t worked since I got the newest update...what’s goin on @115858,6,0.4652432004164735,@476342 @AppleSupport what’s goin on,"@476341 We'd like to look into this with you. To start, let us know in DM in which apps this is happening with. https://t.co/GDrqU22YpT"
@AppleSupport iOS 11.0.3 and still having the battery drain issue. Thanks for this Apple 😂,4,0.3854542071907155,@AppleSupport Still having the issue,"@447923 Thanks, we got your DM. Look forward to our reply from there."
"@AppleSupport the new iOS is awful. My phone has to be restarted daily due to calls &amp; apps not working, and my home button stopped working",4,0.38476879523632446,@AppleSupport my home button stopped working SOS,"@677368 We can help out. What device are you currently using? Also, let us know what country you're located in via Direct Message. We'll get started. https://t.co/GDrqU22YpT"
@AppleSupport  phone messed up from updates 11.01.People can’t hear me.I was told can pay 300 for a new phone.But your updates broke myphone,4,0.23491880694203046,@AppleSupport 11.01,"@190552 We’ve released version 11.0.2. Make sure you have a backup, then update your iPhone: https://t.co/80YRnjDFDk
Need more help? DM us. https://t.co/GDrqU22YpT"
@AppleSupport And yes I have restarted loads of times,4,0.5655750136226878,@AppleSupport Yes. I have restarted.,"@339411 Do either of the devices have a case or screen protector? If so, are you able to remove them to test if the flickering persists?"
@AppleSupport Ahhhh yess I’m eligible! Thank you so much,4,0.5240135911004735,@AppleSupport Thank you so much 🤙🏼,@218001 You're most welcome.
"@AppleSupport Happens mostly in FB and instagram. Installed and updated everything last night. Shut down phone last night, didn’t help, haven’t this a.m.",1,0.3109084594248023,@AppleSupport The latest.  Just updated my phone last night.,"@531129 When did you notice this occurring and do you recall doing anything on your iPhone right before it started?

Is iOS 11.1.2 the version installed and have you tried any steps since this started happening? Pleasee keep us posted in DM, here: https://t.co/GDrqU22YpT"
@115858 where is the update that fixes that capital i?,1,0.3365333329384838,@115858 where tf is the update that fixes the glitches from the last update because I’m tired of not being able to use the letter “I️”,@129974 We're here for you. Which version of the iOS do you have currently? Check from Settings &gt; General &gt; About.
@AppleSupport I have a backup on iCloud - updates nightly. Is that sufficient?,1,0.3039802799387252,"@AppleSupport iTunes says there’s a backup on iCloud, but doesn’t give me the option to restore backup","@378036 For help to restore your device through iCloud, check out this article: https://t.co/Rb2w1cv3GI"
@AppleSupport will photos get copied to new mobile via new ios 11 new phone setup without iCloud photo library activated ?,9,0.263063104233536,@AppleSupport I need help with my iCloud Photo Library,@393037 We would like to help with this. What is going on with your iCloud Photo Library today?
@AppleSupport IPhone 7+ and the latest update,2,0.7415335197289789,@AppleSupport I have the iPhone 7 and the latest update,"@568380 When did you update to 11.0.3? Send us a DM and also, let us know the country you're in. https://t.co/GDrqU22YpT"
@121122 why does my iPhone keep shutting down? Brings up a loading screen every now and again?? @AppleSupport was really hot about an hour ago as well and it wasn’t on charge was just on the side,2,0.30791170566998793,@115858 why does my iphone keep shutting down since the update,@321328 We'd love to help. Are you seeing this issue with any specific apps or usage? Do you do anything to restore function?
"@AppleSupport Last night, my contacts were there. Today, I am missing numerous contact names and emails, but their number remains",2,0.3019154903169202,@AppleSupport Last night,@544947 Thanks. Let's continue this conversation in a DM. https://t.co/GDrqU22YpT
"MBP and iPhone both crashing a lot now. Come on @AppleSupport, fix these issues.",2,0.29950646372553735,@284409 Come on @applesupport fix it already!! ℹ️ℹ️❓❓,@524816 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/qODbOsp4wz
@AppleSupport since upgrading to the latest iOS my iPhone 7 is constantly freezing. So annoying!,2,0.4590353003704424,"@AppleSupport. Since upgrading my phone to iOS 11.0.2, it is constantly freezing and crashing.",@193299 We'd like to see what we can do to help. Are you seeing this happen with specific apps or completely at random?
@AppleSupport @115858 #siri Siri thinks the Apple store opens at 10.  It’s closed until 11.  I asked Siri who I should report the bug to... https://t.co/VLbb5wHKEZ,1,0.19836692532802247,"For some reason, Siri thinks apologies are indecipherable Canadian gibberish, @AppleSupport? https://t.co/IeGMEewAIL",@224487 Let's see what's going on with Siri. Can you tell us in DM the current iOS version and device you're using with Siri? https://t.co/GDrqU22YpT
@AppleSupport my macbook won't sync iMessages with the iPhone. why is that?,1,0.3392463671473788,@AppleSupport My macbook,@373275 Alright. Join us in DM with more detail about what is happening with your MacBook. We can troubleshoot with you there. https://t.co/GDrqU22YpT
@AppleSupport High Sierra I believe,10,0.4938759801535904,@AppleSupport High Sierra 10.13,@201001 Thanks for that. Does this issue occur with multiple websites? Do you have just one tab open or multiple?
@AppleSupport will there be an update on ios11? My phone is running very slow now and I have plenty of gb,10,0.4393281275805031,@AppleSupport Will there be an update to fix this? I️,@518829 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9
@115858 needs to fix this dumb ass question mark shit,5,0.7426702798407485,Y’all need to fix this dumb ass question mark shit now @115858,@479722 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9
"@AppleSupport Yes, with both.",5,0.5547480050310952,@AppleSupport With both,@373371 Send us a DM. We'll go over this from there. https://t.co/GDrqU22YpT
"This is exactly what happened with my previous phone, but it was an official iOS update. Also it's not just me this is affecting @115858. https://t.co/lU4vWb63dX",2,0.2877680129423524,"@AppleSupport This is exactly what I did, and it didn’t work.",@530439 Got it! Send us a DM and we can continue there. https://t.co/GDrqU22YpT
Had another iPhone update but still seeing ! And boxed ? This is getting old @115858,2,0.3243177008203552,This is getting old @115858 ever since updates my phone has been a hassle https://t.co/4tP3zTTT3Z,@153969 We want to help! What model of iOS device are you using? Do you have the most recent version of iOS 11.0.3 downloaded? https://t.co/GDrqU22YpT
@AppleSupport This glitch with the letter following H is affecting my ability to work on the road. Unacceptable.,5,0.3843309523648156,@AppleSupport  Please fix the glitch that you have typing the letter “I️”. It is affecting my ability to send and respond to emails.,@434912 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9 https://t.co/GDrqU22YpT
"@AppleSupport apple store employees i spoke w/ recommended against using my mbpro 87W adapter to fast charge my iphone x, although it is listed as compatible on the apple site. dunno which to believe…any downside to using this adapter?",3,0.3361717015534652,@AppleSupport is there any benefit to using the 87W adapter over the 29W adapter to charge the phone?,@668889 Let's meet up in DM and take a closer look into this. https://t.co/GDrqU2kzhr
@115858 since the #ios11update my phone is now actually laggy! Can’t listen to podcasts and do something else now! Absolutely crap update!!!,2,0.21333426530081773,"@AppleSupport I’m trying to talk on the phone, listen to podcasts, and/or music. Volume keeps going down.",@630131 We'd like to gather some more information for better troubleshooting. Can you DM us the country you are located in? https://t.co/GDrqU22YpT
There it is again 🙃🙃🙃@AppleSupport wtf is this https://t.co/5Aw0qHLh4M,2,0.6196110876317277,@AppleSupport wtf is this? https://t.co/n7gYlsJPp6,"@420130 We're glad to help with this. Please DM us, and we’ll take it from there. https://t.co/GDrqU22YpT"
@AppleSupport @115858 Since the new iOS update my phone keeps freezing - do you know why?,2,0.37667724438653155,"@AppleSupport Hi, since the new update my phone keeps freezing. Any suggestions?","@608152 We're more than happy to work on a resolution with you. Please DM your iPhone model, iOS, and country. We'll meet you there! https://t.co/GDrqU2kzhr"
"@AppleSupport Seriously, come on.",2,0.47947021680627366,@115858 @AppleSupport seriously https://t.co/NkJ2ltvZMG,@530407 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/uQeXsrrlXJ
"@AppleSupport Checked time- battery at 54%, checked again 5 minutes later, it was down to 13%. Phone was doing nothing in between. This only happened since installing ios 11. I’ve done all I can think of to reduce battery drain. Help!!",4,0.1938987379644413,@AppleSupport It was not checked :(,@784249 Thank you for checking that for us. We'd like to look into this further with you. Let's continue in DM. https://t.co/GDrqU22YpT
"I just got this to my email @115858 @AppleSupport?!? Is this fraud?!? Feels like fraud, kinda looks like fraud?! https://t.co/pGXl7kEV6T",8,0.6014394051159282,@AppleSupport #fraud ????😠 https://t.co/WWIVl0o93h,@626350 Let's look into this. This appears to be a phishing attempt. More information can be found here: https://t.co/LNMCdqt6fD
@AppleSupport 7plus and home@wifi,10,0.5598192610565336,@AppleSupport 7plus,@181180 OK. Let's continue in DM. https://t.co/GDrqU22YpT
#ios11 you are killing me! So many bugs &amp; battery life of &lt;20min ! @115858 @AppleSupport #Apple #iphonebugs #iphone,2,0.2892740345307333,@AppleSupport you guys are killing me: https://t.co/Fetq82HEaZ,@521563 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9
@AppleSupport  https://t.co/rpeBYtGJQT,9,1.0000000000000002,@AppleSupport  https://t.co/NV0yucs0lB,@115854 We're here for you. Which version of the iOS are you running? Check from Settings &gt; General &gt; About.
@AppleSupport why is airplay from my macbook air to apple tv 3 always buffering while casting to chromecast is flawless?,10,0.3663574848660476,"@AppleSupport No, airplay is always buffering a lot",@500567 Make sure your devices are compatible: https://t.co/jQN1wtIGI3 and then check your Wi-Fi: https://t.co/zlgjExQD2d
Why is my battery life going backwards when its on the charger? @115858 tf is that about?!,4,0.3355255127287343,Why is my battery dying while my phone is on the charger? @115858,@324665 Not exactly how we expect things to go. Are we able to test with a new cord?
"Updated to iOS 11.1.2. Every 5 mins phone vibrates, black screen, loading wheel and then asks for password. No Apple store in Melbourne (?) plz halp @AppleSupport",2,0.5824977371619278,"Updated to iOS 11.1.2. 
Black screen, loading wheel and then asks for password.  @AppleSupport
It's sickening",@238868 We're here to help. Please look for our response to your DMs shortly. https://t.co/GDrqU22YpT
"@AppleSupport Battery life reduced to 1/2 a day, iMessages are hidden by reply window/keyboard, processing time slowed considerably",4,0.232292648902922,"@115858 @AppleSupport iOS 11.0.3 really sucks! Constant crashing, battery life reduced to 3.5 hours, and overheating. What the F??","@363340 We want your device running smoothly. Meet us in DM and let us know which device you're using, to get started. https://t.co/GDrqU22YpT"
Hey @115858 I know you released a new phone but don't make everyone else's phones slow and fuck up. Some people are poor.,2,0.18575550764349563,"@AppleSupport 11.1.2, not been same phone since you released new models.... what a coincidence 👍🏾",@746853 We'd like to look deeper into this issue with you. Join us in DM using this link: https://t.co/GDrqU22YpT
"Dear @AppleSupport, please fix the assistive touch in ios 11.1. Kthx. https://t.co/zhE5V3kM5m",2,0.4149645136558229,Dear @AppleSupport please fix the “I️” issue!!!,@509241 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9
"@AppleSupport When driving mode is on and I receive a call, I can’t turn volume up or down from my Apple headphones.",10,0.20280440515995882,"@AppleSupport updated 2 the latest iOS &amp; there seems 2 be a glitch, can’t turn ringer up or down using volume buttons (checked settings 2).","@709717 We're happy to assist. Which iOS 11 version are you currently running? Go to Settings &gt; General &gt; About for the version.  Does this happen in all apps, or only specific ones?"
@AppleSupport Do you have an estimated date on when Photos for MacOS 10.13 will be fixed? My Christmas projects are backing up due to this.,11,0.2807384495063657,@AppleSupport macOS 10.13.1,@782403 Got it. Please tell us in DM how many hours you're able to use the Mac before needing to plug it back in. https://t.co/GDrqU22YpT
#iOS11 is the worst update compare to other iOS’s version. PLEASE FIX THIS FAST @115858,2,0.2610404743838838,@115858 fix this fast!!! I I I* ⬇️ https://t.co/3cLGARVpc5,"@735538 iOS 11 was recently updated and it includes a fix for autocorrect issues. Be sure to back up your device prior to updating, and let us know if the issue persists afterwards. How to back up: https://t.co/ui8Itz8ESg DM us any questions. https://t.co/GDrqU22YpT"
@115858 fix this iOS 11 update PLEASE.,2,0.8385158495154954,@115858 fix this iOS 11 update!!!,@509929 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9
