text_customer,text_apple,intent
@AppleSupport worst upgrade ever ......SUCKS.nothing but problems and now I can’t instal latest upgrade that I need ! My phone is useless! https://t.co/06HMV6M5Ka,@541811 We want to help in any way we can. Check out the steps here and let us know the result: https://t.co/Ui1yTnOCUz,2
@AppleSupport I bought an iPhone 8 in the US recently and was assured it was unlocked by the staff at @127271 - it isn’t. Any options?,"@448921 Hi, we'd like to help cover some information with you. Please DM us and we can assist further. https://t.co/GDrqU22YpT",3
@AppleSupport Found that link and tried all of that before tweeting.,@262084 Send us a DM and we can start looking into it from there. https://t.co/GDrqU22YpT,3
"@AppleSupport for the love of god, can we get an update for this “I️” nonsense?",@530234 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9,2
My phone decided to fuck me over and update last night and set my time back an hour.. and I missed my app. Wtf @115858,@715350 We appreciate you getting in contact with us. We definitely know how important having the correct time is on your iPhone. Please send us a DM. https://t.co/GDrqU22YpT,2
Okay @115858 how about you get your shit together a fix this!! I️,"@656944 We recently released an iOS update, 11.1.1, that contains a fix for autocorrect issues. Let’s be sure to back up your device prior to updating. How to back up: https://t.co/4f8hwT5to6",2
@AppleSupport My iPhone SE battery has gone from 77% to 13% while locked overnight... please hurry up and fix iOS 11.. it’s a joke presently...,@753069 We can actually help address this issue with you from here. Are you running the most current iOS 11.0.3?,4
"@115858 my WhatsApp doesn’t work with iOS 11, and the keyboard have a delay when I push the letters 😡 #ios11 #sucks #ios11sucks",@216586  Hey there! Let's look into this together. Could you tell which iPhone and specific iOS version number you're using?,2
"@AppleSupport nothing it just pops up and says facetiming but doesn’t ring, and when people call me on ft it doesn’t go through at all","@424257 Okay, thanks. Is this happening on Wi-Fi or cellular?",1
"@AppleSupport Yes, it works in Safari. Just checked. And also checked with another friend with Apple Music subscription (iPhone 7 Plus, iOS 11.1.1). She cannot play videos on cellular data in Apple Music too. Wi-fi works for her as for me.",@725647 Let's check a couple settings. Please go to Settings &gt; Cellular is Music enabled? In Settings &gt; Music we want to make sure Cellular Data is also on here. Please DM us the results. https://t.co/GDrqU22YpT,6
@AppleSupport I’m from India. A friend of mine is flying from US and I want to get an iPhone X. The verizon version A1865 is the one that supports here. But while pre-ordering is it necessary to put Contract info? I cannot get the unlocked one?,"@576626 Thank you for reaching out about purchasing the iPhone X. To make certain you get the correct information, we recommend contacting our Sales Support team here: https://t.co/8yjRd1Xo0i",7
@AppleSupport Quick question. How do I get rid of this square? https://t.co/yybSAibsT2,@287951 We're glad to help! It appears you've enabled an accessibility feature called Zoom. You can disable this option in Settings &gt; General &gt; Accessibility &gt; Zoom. It may be associated with the accessibility shortcut. Here's more information: https://t.co/aCPzL7RlUq,5
I’ve gotten about 3 new phones for the SAME issue. Here for the 4th? Getting real tired @115858,"@714745 We understand the importance of being able to rely on your iPhone. Message us in DM where we can learn a bit more about what's going on, and work with you to reach a definitive solution. https://t.co/GDrqU22YpT",3
@AppleSupport Is there a way to check the overall battery health of my iPhone 6S Plus?,@780074 We want to help. DM us and we'll work from there. https://t.co/GDrqU2kzhr,4
"@AppleSupport I've tried that. When I hold the up volume button and power button down for over a minute, nothing happens. Do Apple Stores accept walk ins? Waiting 30 hours for my appointment without a functioning phone is a real problem.","@593907 The stores do have walk in queues, however, we are unable to estimate or determine the wait times. They change throughout the day depending on the store.",11
@AppleSupport please send a fix or work around for this: https://t.co/Wwx4Fbb1Ct,@531436 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9,2
@applesupport my phone keeps saying storage almost full I've deleted apps photos and videos and it's still at the same space level help,"@397859 We're here to help. Can you tell us when you deleted your items, did you do a restart to your iPhone?",3
"@AppleSupport I have restarted it twice now and still no difference, I mostly use it inside. This has been happening for about 24hrs now","@610274 Got it, thanks! So we can look closer into this with you, can you DM us which iOS version you're using? https://t.co/GDrqU22YpT",2
@AppleSupport No I powered it after it froze. But it already had 26% before,@737125 Which macOS are you running? Have you tried to boot into safe mode? Try that and let us know: https://t.co/PQ4LSYhUTY,4
👁’m gonna use 👁 when 👁 got tweet some shit that start with 👁 til @115858 get they shit together,@529418 We're happy to help. Check out this article for steps to help with this: https://t.co/xXaXeeSRt9,1
@115858 umm i just wanna talk to yall about this update.. i just want to talk.,"@464936 Sure, join us in DM if you have concerns about the update and we'll do our best to assist. https://t.co/GDrqU22YpT",2
@115858 has really been shitting the bed lately. I've had more issues with the iPhone 7 than all my iPhones combined since second gen. https://t.co/TBFb74uRy4,@555658 We'd like to help. DM us if you're having similar issues in other apps and we'll be glad to continue support there. https://t.co/GDrqU22YpT,2
@AppleSupport How do I revert to previous iOS? Can I Delete iOS 11?,@626538 Thanks for that information. DM the country or region where you are currently located to continue. https://t.co/GDrqU22YpT,2
"Look y’all don’t own my I’s, okay!?@115858 I’m gonna need y’all to give those muthafuckas back before I️ see what that #Pixel2XL is all about Ight?!? Got me over feeling/looking like I’m still using T9word or some shit 🙄 Tf!","@699447 We recently released an iOS update, 11.1.1, that contains a fix for this issue. Let’s be sure to back up your device prior to updating. How to back up: https://t.co/4f8hwT5to6",2
"@AppleSupport look, i just got this iPhone 8 and i would like to ask y’all why is my phone tripping and dying so fast 😐","@170489 We want to make sure your iPhone is there for you when you need it. So we can get started, let's pair up in DM to take a closer look at this. https://t.co/GDrqU22YpT",4
"@AppleSupport The apps are unexpectedly closing it, it seems a lot slower than it did before I updated it it’s like jumpy",@509879 Alright. Does this seem to happen with any specific apps? What iOS version are you using? (Settings &gt; General &gt; About).,1
@AppleSupport recent update for IPad and IPhone have made it difficult to open certain applications,"@163247 Let us know which apps you're having trouble with, and what happens when you try to open them. We're here for you!",2
@AppleSupport @115858 why isn’t my low power mode working 🤔🧐help?!... https://t.co/AutkdiI4n6,@143274 Thanks for reaching out. We're here to help. DM us so we can look into this further with you. https://t.co/GDrqU22YpT,4
"It’s crazy when I didn’t update my 7plus it worked perfect, nw it’s updated my joint freezing an everything. No @115858 I Dn’t want a new phn",@446386 We'd like to help if we can. Send us a DM with some details and we'll go from there. https://t.co/GDrqU22YpT,2
"For some reason, Siri thinks apologies are indecipherable Canadian gibberish, @AppleSupport? https://t.co/IeGMEewAIL",@224487 Let's see what's going on with Siri. Can you tell us in DM the current iOS version and device you're using with Siri? https://t.co/GDrqU22YpT,1
my Apple Music hasn’t worked since I got the newest update...what’s goin on @115858,@317222 We're here to help! Send us a DM with details on what you are experiencing to continue. https://t.co/GDrqU22YpT,6
@AppleSupport iOS 11.0.3 and still having the battery drain issue. Thanks for this Apple 😂,"@412302 Let's meet in DM where we can partner together to investigate, and offer the best path toward a solution. https://t.co/GDrqU22YpT",4
"@AppleSupport the new iOS is awful. My phone has to be restarted daily due to calls &amp; apps not working, and my home button stopped working",@558685 Thanks for reaching out. We'd like some details to help. Which iPhone model do these issues occur on? Let us know in a DM. https://t.co/GDrqU22YpT,4
@AppleSupport  phone messed up from updates 11.01.People can’t hear me.I was told can pay 300 for a new phone.But your updates broke myphone,@314067 We want to help look into this. Reach out to us in DM and we will work together to find a solution. https://t.co/GDrqU22YpT,4
@AppleSupport And yes I have restarted loads of times,@409894 We'd like to take a closer look. Send us a DM and we can start there. https://t.co/GDrqU22YpT,4
@AppleSupport Ahhhh yess I’m eligible! Thank you so much,"@225884 You're welcome. If you have questions in the future, feel free to reach out to us here.",4
"@AppleSupport Happens mostly in FB and instagram. Installed and updated everything last night. Shut down phone last night, didn’t help, haven’t this a.m.",@410910 Understood! Let's see if we can delete and reinstall both FaceBook and Instagram to see if the issues persist: https://t.co/bNH7gNvF9e Let us know the results once completed.,1
@115858 where is the update that fixes that capital i?,@512942 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9,1
@AppleSupport I have a backup on iCloud - updates nightly. Is that sufficient?,"@776600 That'll do it! You'll want to be sure that any data that was saved after your last backup is included as well. When you're ready, you can go to Settings &gt; [your name] &gt; iCloud &gt; iCloud Backup. 
Let us know if you have any other questions for us. We're here for you.",1
@AppleSupport will photos get copied to new mobile via new ios 11 new phone setup without iCloud photo library activated ?,"@740284 Great question. To access your iCloud Photos on a new device, you'll need to turn on iCloud Photo Library. Check out the following article for more information: https://t.co/8YUslsnsM5",9
@AppleSupport IPhone 7+ and the latest update,@272908 DM us using the link below. We'll work with you from there. https://t.co/GDrqU22YpT,2
@121122 why does my iPhone keep shutting down? Brings up a loading screen every now and again?? @AppleSupport was really hot about an hour ago as well and it wasn’t on charge was just on the side,"@246273 Thank you for that information.  Create a current iTunes or iCloud backup, and follow the steps in this article: https://t.co/osZOKKTalm.",2
"@AppleSupport Last night, my contacts were there. Today, I am missing numerous contact names and emails, but their number remains",@681658 Have you tried a basic restart of your iPhone to see if the names appear as they should?,2
"MBP and iPhone both crashing a lot now. Come on @AppleSupport, fix these issues.",@378851 Let's look into this for you. How often do you experience this? Let us know in DM: https://t.co/GDrqU22YpT,2
@AppleSupport since upgrading to the latest iOS my iPhone 7 is constantly freezing. So annoying!,@150777 We'd like to know more. Let us know in DM which iOS version is currently installed &amp; if this is happening with a specific app. https://t.co/GDrqU22YpT,2
@AppleSupport @115858 #siri Siri thinks the Apple store opens at 10.  It’s closed until 11.  I asked Siri who I should report the bug to... https://t.co/VLbb5wHKEZ,@503602 We're here to help! DM us and we'll review your options. https://t.co/GDrqU22YpT,1
@AppleSupport my macbook won't sync iMessages with the iPhone. why is that?,"@156915 Let's look into this for you. When did you first notice this issue? Also, which version of macOS are you currently using?",1
@AppleSupport High Sierra I believe,"@260898 Thanks for confirming.  Is your network strong?  Are you connected wirelessly or with an Ethernet connection?  Also, are you able to see the progress bar moving?",10
@AppleSupport will there be an update on ios11? My phone is running very slow now and I have plenty of gb,"@619200 We’d like to look into this with you. To start, please send us a DM letting us know which iPhone you’re using. https://t.co/GDrqU22YpT",10
@115858 needs to fix this dumb ass question mark shit,"@596073 We're here for you. Can you let us know, in DM, where you're noticing these question marks? Specifically, which app(s)? https://t.co/GDrqU22YpT",5
"@AppleSupport Yes, with both.",@336779 Do also experience this issue with other apps like iTunes and App Store?,5
"This is exactly what happened with my previous phone, but it was an official iOS update. Also it's not just me this is affecting @115858. https://t.co/lU4vWb63dX",@302598 We'd be happy to look into this with you more in detail.  Please reach out to us via DM and we'll get started. https://t.co/GDrqU22YpT,2
Had another iPhone update but still seeing ! And boxed ? This is getting old @115858,@670141 Let's take a look at this issue together. Send us a DM and we'll get started. https://t.co/GDrqU22YpT,2
@AppleSupport This glitch with the letter following H is affecting my ability to work on the road. Unacceptable.,@630167 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9,5
"@AppleSupport apple store employees i spoke w/ recommended against using my mbpro 87W adapter to fast charge my iphone x, although it is listed as compatible on the apple site. dunno which to believe…any downside to using this adapter?","@668889 Hi there, and thanks for reaching out to us! You can use your USB-C Power Adapter to fast charge your iPhone. You can find this information listed here: https://t.co/M0KamLrtwG

Let us know if you have any other questions!",3
@115858 since the #ios11update my phone is now actually laggy! Can’t listen to podcasts and do something else now! Absolutely crap update!!!,@567890 We can help out with the iPhone performance. Could you Direct Message us and let us know what country you're located in? https://t.co/GDrqU22YpT,2
There it is again 🙃🙃🙃@AppleSupport wtf is this https://t.co/5Aw0qHLh4M,@490095 We'd recommend trying the steps here: https://t.co/sDSg93LaFu let us know in DM if the issue continues. https://t.co/GDrqU22YpT,2
@AppleSupport @115858 Since the new iOS update my phone keeps freezing - do you know why?,"@365418 Let's get that taken care of together. Is this behavior happening with all apps, or is it isolated to certain specific apps?",2
"@AppleSupport Seriously, come on.","@327974 We’d like to offer our support. Which iPhone do you use? Also, which version of OS is running on your iPhone and Watch?",2
"@AppleSupport Checked time- battery at 54%, checked again 5 minutes later, it was down to 13%. Phone was doing nothing in between. This only happened since installing ios 11. I’ve done all I can think of to reduce battery drain. Help!!","@764997 Hey there. We appreciate you reaching out. What model iPhone are you using, and what is the exact iOS version installed in Settings &gt; General &gt; About? Also, let's make sure your settings are adjusted for improved battery life as listed here: https://t.co/bivpdfBNJ6",4
"I just got this to my email @115858 @AppleSupport?!? Is this fraud?!? Feels like fraud, kinda looks like fraud?! https://t.co/pGXl7kEV6T",@666669 That does appear to be a phishing attempt. You can read more about how to identify and report those here: https://t.co/LNMCdqt6fD,8
@AppleSupport 7plus and home@wifi,@277899 Thanks for confirming. Let's move to DM so we can dive into what's going on. Use the link below: https://t.co/GDrqU22YpT,10
#ios11 you are killing me! So many bugs &amp; battery life of &lt;20min ! @115858 @AppleSupport #Apple #iphonebugs #iphone,@765474 That is certainly not the experience we want you to have. Which iPhone model do you own?,2
@AppleSupport  https://t.co/rpeBYtGJQT,"@650961 You're absolutely right, you have plenty of iCloud space. What is happening when you try to back up? Are you getting an error message or does the backup just not complete?",9
@AppleSupport why is airplay from my macbook air to apple tv 3 always buffering while casting to chromecast is flawless?,@500567 Let's see how we can help. Have you been successful in using AirPlay between these devices in the past?,10
Why is my battery life going backwards when its on the charger? @115858 tf is that about?!,"@__diorable__ Battery life is important, and we're here for you. To start, which device are you experiencing this on?",4
"Updated to iOS 11.1.2. Every 5 mins phone vibrates, black screen, loading wheel and then asks for password. No Apple store in Melbourne (?) plz halp @AppleSupport",@231638 Thanks for reaching out to us. We are always happy to help. Send us a DM so we can look into this with you there. https://t.co/GDrqU22YpT,2
"@AppleSupport Battery life reduced to 1/2 a day, iMessages are hidden by reply window/keyboard, processing time slowed considerably",@656938 Thanks for reaching out to us for support. We would love to help you. Please DM us so that we can look into this together. https://t.co/GDrqU22YpT,4
Hey @115858 I know you released a new phone but don't make everyone else's phones slow and fuck up. Some people are poor.,@755946 We'd be happy to assist with this. Could you please confirm for us what kind of iPhone you're using and what iOS version it's running?,2
"Dear @AppleSupport, please fix the assistive touch in ios 11.1. Kthx. https://t.co/zhE5V3kM5m",@470012 We're always here to help. What issues are you currently having with AssistiveTouch exactly?,2
"@AppleSupport When driving mode is on and I receive a call, I can’t turn volume up or down from my Apple headphones.",@524167 Hey there! We've received your DM and will join you there shortly. Thanks!,10
@AppleSupport Do you have an estimated date on when Photos for MacOS 10.13 will be fixed? My Christmas projects are backing up due to this.,@238537 We want to get you in the right direction for assistance. Reach out to our Photos experts through the following link:  https://t.co/IBIY3vMgPj,11
#iOS11 is the worst update compare to other iOS’s version. PLEASE FIX THIS FAST @115858,@539900 Are you using a specific app when this occurs? Have you updated to iOS 11.0.3? Let's get together in a DM and work together. https://t.co/GDrqU22YpT,2
@115858 fix this iOS 11 update PLEASE.,@216744 What's going on with your device? We might be able to help.,2
I love when the sound on my phone just stops working thanks @115858,"@732033 We want the sound to work for you, and we'd love to help. Which software version are you using? Also, are you unable to hear all audio?",3
@AppleSupport Problem is with the new ios. Look at the screen all messed up. It happened 3 times.,@432314 We can assist you with this. Please DM us via the following link and we'll help you from there. https://t.co/GDrqU22YpT,5
Fuck @115858 my goddamn iPhone 7+ I just got should not be fucking lagging like this. Like it’s brand new makes me never want to get another!,@565011 We'd like to look into this with you and help! We want your awesome new iPhone working properly too. Please DM us to proceed. https://t.co/GDrqU22YpT,3
my phone keeps turning on and off while on the charger help @applesupport,@412438 We're happy to help. Are you using the charger that came with your iPhone? Are you using a specific app when it turns off?,4
Y’all. What is going on? @115858 fix this😑🙄 https://t.co/RkSIUcU53Q,@497762 Thanks for reaching out. We have a workaround for this here: https://t.co/xXaXeeSRt9 DM us if you still need help. https://t.co/GDrqU22YpT,3
@AppleSupport what does the message mean? Today I noticed that my account was already disabled? https://t.co/o17QLruGII,@563424 We completely understand the concern. Have you clicked on that link or entered any information in the site it links to? https://t.co/iwuQ9w9fdA,8
"Every time I try to type “it”, my phone autocorrects to “I.T” WTF @115858 @AppleSupport. These updates have been pure trash!","@448740 We’d like to look into this with you. To start, please send us a DM confirming which iPhone and software version you’re using. https://t.co/GDrqU2kzhr",5
@AppleSupport I'm trying to get into contact with someone from customer support. But your stupid automated answer is useless. I need to speak to an actual person. Where can I call?,@278228 We can definitely help get you in contact with our local phone support or assist here over Twitter. Which ever works best for you. Select the following link to join us in a DM and we'll take it from there. https://t.co/GDrqU22YpT,11
@AppleSupport But won’t that erase everything I’ve downloaded from Apple Music? That makes me nervous 😳,"@258749 If you turn off iCloud Music Library, it will erase all your music you've downloaded for offline listening. If the songs aren't available in our Apple Music catalog, this is the only way to sync them to your iPhone. Send us a DM if you have any additional questions. https://t.co/GDrqU22YpT",6
"Seriously @AppleSupport, your Photos Agent background process is a joke. Using 186% of my CPU and draining my battery while charging.",@408995 We want to look into this. DM us with more information and we'll follow up there. https://t.co/GDrqU2kzhr,3
@AppleSupport iOS 11.1.1 is killing my iPhone 6s battery. We need a fix as soon as possible!,@716715 We want to work on this with you. Meet us in DM and we'll pick up from there. https://t.co/GDrqU22YpT,4
@AppleSupport Is the get ready for iPhone X upgrade for existing members completely up and running because this is what I get w/ VZ pin? https://t.co/QUJ8HWQkKw,"@375330 Thanks for reaching out to us today. We want to get you in touch with our Sales Support, click this link: https://t.co/RmFSlCBcIE",12
Also that box with the question mark can smd @AppleSupport needs to get on it,@525239 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9,2
Let's try this again. @AppleSupport my iPod is stuck on this screen. It won't update or restore through iTunes. Please help https://t.co/IRVcpha3Rf,@531802 Thanks for reaching out to us. We'd like to help out. Let's start with these setsp: https://t.co/9CFnZQoE0F,3
@115858 EVERYTIME I WRITE “I.t” I.t autocorrects TO I.t!!!!! HELP,"@267047 Let's team up and tackle your keyboard issue together. Which model do you have and what's the exact OS version installed on it?

When did this start and have you already tried any steps of your own?",5
@AppleSupport I havta individually swipe my notifs away instead of clearing them all at once in the IOS11 update?????? Thts bull crap!!!!,"@383592 We're happy to help. You can still close out all the notifications at once by tapping on the ""X"" at the top. Questions? DM us. https://t.co/GDrqU22YpT",5
"Really love @115858 and all, but when you can’t get calls for a good month it’s annoying. @AppleSupport","@476524 We're here to help out. Let us know specifically what's happening. Also, which iPhone do you have and what is the iOS version?",10
"Oh wow @AppleSupport , 10% battery reduction in less than 5mins. #iOS11 👏🏻👏🏻👏🏻👏🏻",@331582 We can help. Do you notice this while performing certain tasks on your iPhone?,4
Way to go @115858 my #iOS11 update makes the letter “I️” turn into a little “a” with a box around it.,@489557 We're here to help. Check out our article here: https://t.co/xU1AGHStV6 DM us any other questions. https://t.co/GDrqU22YpT,2
"Hey, @115858 - you broke iPhone7+ iTunes in Elantra through USB with iOS11, fixed it on 2nd patch, and broke it again with latest patch. 🙁",@607801 We are here for you. Let's take a look at this further for you. Reach out to us in DM. https://t.co/GDrqU2kzhr,2
@AppleSupport hi so i updated my phone yesterday and now can no longer connect it to my car via usb???,"@806479 We certainly want you to enjoy your iPhone on the go. Let's take a look into this issue and work towards a resolution. To get us started, may we have a description of the issue? https://t.co/GDrqU22YpT",10
@AppleSupport iPhone 5s and 11.3,"@448425 Does it show the version number as 11.3 in Settings &gt; General&gt; About, next to version? DM the answer. https://t.co/GDrqU22YpT",10
"@115858 @AppleSupport  Is this green pixel supposed to be on my brand new iPhone X? Also, why can’t I just get a simple replacement phone at your stores? Why do I have to pay another grand to get a replacement or pay for “repair”?! https://t.co/QVEzzAx8eC","@666322 We know you expect the best from your new iPhone, and we'll do everything we can to help resolve this with you. Go ahead and send us a DM with the country you're located in, and we'll pick back up there. https://t.co/GDrqU22YpT",3
"@AppleSupport Latest ios 11.1.2
More than 10 days and some issues from beginning like screen freezing sometimes",@569775 Thanks!  Does it help to restart your iPhone?,2
"@AppleSupport Why do 22,000 pictures, taking 5.5GB in a MacOS folder consume 135GB in my ""Photos Library.photoslibrary""? Why?","@467804 Let's take a look into this together. Please send us a DM, and we'll get started. https://t.co/GDrqU22YpT",9
@AppleSupport my iPhone 7 is less than 10 months old and my earphones/handsfree have stopped working. #nothappy #Apple,@680110 We'd like to help get it working right. Are you having the issue with the EarPods that came with your iPhone? Have you tested another pair to rule out your iPhone's Lightning port?,3
".@115858 the new update to the iPhone is horrible, I am losing battery power at an alarming rate now. #horrible #howdoiundoit",@521047 Send us a DM and let us know what version of iOS you're running. We'll go from there. https://t.co/GDrqU22YpT,2
"@AppleSupport My iPhone is being incredibly unresponsive, and will just freeze at times, and take many minutes to catch up. Running IOS 7.0.3","@517923 We're happy to help you with this. Which iPhone model are you using, and was iOS 7.0.3 a typo or the actual version?",3
@118845 why I’m not getting any useful answer every time I contact your support? ..It’s almosta month now,@561675  Hey there! We’d like to understand more about this situation. Please DM us some details and we’ll take it from there. https://t.co/GDrqU22YpT,11
Got a call my CC info &amp; SSN were accessed. Checked all of my stuff and there’s two fake domains in my Passwords that have no site name &amp; won’t delete even when I️ reset my Keychain. @AppleSupport you wanna spot me for a new identity orrr? https://t.co/wb5ru2w4AN,@697403 We’d like to look into this with you. Please send us a DM to let us know details about the call you received. https://t.co/GDrqU22YpT,8
@AppleSupport I have the iPhone 7 plus and it just says update requested. It shows the update but it won't go any further from there.,@289410 Let's look into this together. Do you get any kind of error message when trying to update?,2
@AppleSupport Hello! My Apple Music seems to have been signed out? Or something.. basically I can't listen to my music and I dunno what to do,@807888 Got it. Can you tell us what is happening when you try to listen to music specifically? DM the answer below. https://t.co/GDrqU22YpT,6
@AppleSupport Please I need to know if anyone else have battery draining issues after upgraded to ios 11. I bought my iphone 8 and i dont know if the problem is the phone or ios...,@669398 We'd like to look into this with you. DM us details of the battery issues you're having with your iPhone 8 and we'll work with you on resolving the issues you're having. https://t.co/GDrqU22YpT,3
